timestamp,player_name,total_games,wins,losses,win_ratio,avg_guesses,overall_most_used_word,overall_least_used_word,most_used_word_row1,most_used_word_row2,most_used_word_row3,most_used_word_row4,most_used_word_row5,most_used_word_row6,win_dist_row1,win_dist_row2,win_dist_row3,win_dist_row4,win_dist_row5,win_dist_row6,avg_row1_yellow,avg_row2_yellow,avg_row3_yellow,avg_row4_yellow,avg_row5_yellow,avg_row6_yellow,avg_row1_green,avg_row2_green,avg_row3_green,avg_row4_green,avg_row5_green,avg_row6_green
20240914_000319,LogicalGuesser,2309,1815,494,0.7860545690775227,4.704132231404959,TWEET,PULIK,TABAC,ZOEAS,AMUSE,SWEET,BIOME,TASTE,0,27,209,486,645,448,0.8575140753572975,1.0640970116933737,0.7839614373356705,0.39459720212252775,0.14933837429111532,0.07537154989384288,0.35426591598094415,1.0978778692074491,2.1950043821209464,3.242161119150989,3.9420289855072466,4.217622080679406
20240914_001216,LogicalGuesser,2309,1811,498,0.7843222174101343,4.760353395913859,DOWDY,SOWED,TASES,FARRO,HAINT,SHASH,BETEL,SHASH,0,16,174,510,639,472,0.8475530532698138,1.0376786487656995,0.801569995638901,0.38603114676734307,0.15102548166563082,0.04845360824742268,0.3425725422260719,1.0701602425292334,2.133449629306585,3.2652194431335535,3.925419515226849,4.245360824742268
20240914_005847,LogicalGuesser,2309,1802,507,0.7804244261585102,4.715316315205327,SLYLY,TEWED,COYAU,METER,GOOLY,NEUME,TARTY,PEASE,0,18,194,520,621,449,0.8025119099177133,1.0692940666955393,0.8223483195111305,0.3881735813066285,0.1553582752060875,0.07426778242677824,0.3512343005630143,1.0597661325249026,2.133566128328241,3.239389604196471,3.907419150285352,4.193514644351464
20240914_010038,LogicalGuesser,2309,1797,512,0.7782589865742746,4.684474123539232,PAVEN,CYMOL,CYMOL,SKILL,BLOOD,FATAL,SHASH,TITTY,0,20,196,543,610,428,0.855781723689909,1.0744911216977047,0.7964176496286588,0.36024844720496896,0.14967741935483872,0.08085106382978724,0.3577306193157211,1.0666955391944564,2.1699432066404545,3.2713807931199237,3.907741935483871,4.152127659574468
20240914_015835,LogicalGuesser,2309,1810,499,0.7838891294932872,4.718232044198895,SHOOK,FLITT,TROAT,GIDDY,EVADE,BLAME,VERSE,CHILL,0,22,192,507,642,447,0.8367258553486357,1.0736249458640104,0.8023611718408395,0.37708830548926014,0.1442065491183879,0.06236786469344609,0.35469900389779124,1.0766565612819403,2.164844774814167,3.2673031026252985,3.9319899244332492,4.208245243128964
20240914_234744,LogicalGuesser,2309,1824,485,0.7899523603291468,4.725877192982456,NUMEN,FLEER,KENTE,BOBOL,CANON,NICHE,HATHA,CLACK,0,22,165,540,661,436,0.819402338674751,1.0714595062797747,0.8233493659816353,0.39726672950047126,0.14348925410872312,0.05428881650380022,0.3447379818103075,1.0515374621048073,2.1014429383471795,3.27191328934967,3.9538558786346396,4.230184581976113
20240920_143445,LogicalGuesser,2309,1800,509,0.779558250324816,4.740555555555556,SNOOT,VERTU,TONKA,NACHE,EBIKE,GORAL,DEWED,BELLE,0,16,178,509,651,446,0.823300129926375,1.090082286704201,0.8329699084169211,0.3796690307328605,0.12079701120797011,0.060732984293193716,0.35643135556517974,1.0472065829363362,2.130396860008722,3.273758865248227,3.9439601494396017,4.197905759162303
20240926_112026,LogicalGuesser,2309,1838,471,0.7960155911650065,4.727965179542982,ELOIN,CHADO,EDICT,RIPER,ADDLE,ALANG,SNORE,BRINE,0,17,185,534,647,455,0.855348635773062,1.0857514075357297,0.806282722513089,0.3711438063597532,0.15448188175460903,0.07235421166306695,0.3451710697271546,1.068860978778692,2.160994764397906,3.296155671570954,3.9535918626827717,4.230021598272138
20240926_113938,LogicalGuesser,2309,1821,488,0.7886530965786055,4.7380560131795715,CREPE,EEVNS,EEVNS,OCCAM,STASH,RISER,SNASH,BASIJ,1,28,159,541,622,470,0.826764833261152,1.0944540727902947,0.8153508771929825,0.33946251768033947,0.13227848101265824,0.05323590814196242,0.33650931139021223,1.040727902946274,2.135087719298246,3.321074964639321,3.94746835443038,4.253653444676409
20240926_114112,LogicalGuesser,2309,1783,526,0.7721957557384149,4.710039259674706,SWELT,DROME,FEVER,PIRNS,AMPLY,LORAL,ADEAD,ATTIC,0,19,177,528,637,422,0.8336942399307059,1.0511043741879602,0.737117903930131,0.34879318504495976,0.12429022082018927,0.04852320675105485,0.37245560848852316,1.0913815504547424,2.2152838427947597,3.300047326076668,3.9406940063091485,4.175105485232067
20240926_125637,LogicalGuesser,2309,1816,493,0.7864876569943698,4.708149779735683,CROCK,CHILE,GRATS,BERET,LEGER,ARMOR,RIPER,SHUSH,0,13,181,561,629,432,0.8436552620181897,1.0775227371156344,0.8048780487804879,0.357919621749409,0.15057915057915058,0.061621621621621624,0.3516673884798614,1.0671286271113036,2.1855400696864113,3.3252955082742317,3.916988416988417,4.197837837837838
20240926_125932,LogicalGuesser,2309,1815,494,0.7860545690775227,4.77465564738292,RISES,TAGGY,YESTS,MAMBU,PHEME,DEERE,ARMOR,ALEAK,0,24,163,490,659,479,0.8107405803378086,1.0736249458640104,0.837636761487965,0.42836946277097077,0.15257352941176472,0.0750256937307297,0.3274144651364227,1.011260285838025,2.0704595185995625,3.1710650329877472,3.9105392156862746,4.23021582733813
20240926_130117,LogicalGuesser,2309,1805,504,0.7817236899090515,4.673684210526316,STONN,LOONS,SAMBA,PADMA,AUNTY,ABBOT,CANAL,DADDY,0,16,218,522,632,417,0.8427890861844954,1.0965786054569078,0.7893589184474488,0.3624096385542169,0.15260785576303929,0.06623235613463627,0.3473365093113902,1.0563014291901256,2.2163105102485825,3.3065060240963855,3.9207984546039922,4.173724212812161
20240926_130235,LogicalGuesser,2309,1749,560,0.7574707665656129,4.732418524871355,NYING,SOAKS,AGUNA,ABIDE,ADAPT,CHICK,DEEDY,ROWER,0,21,174,501,609,444,0.819402338674751,1.061065396275444,0.8382867132867133,0.39214758751182593,0.1500309981401116,0.07470119521912351,0.3152880034647033,1.0125595495885664,2.097902097902098,3.2199621570482497,3.876007439553627,4.150398406374502
20240926_130338,LogicalGuesser,2309,1800,509,0.779558250324816,4.746111111111111,REFER,PRADS,CRIER,PIPER,POMMY,DENET,FECAL,BASIS,0,16,189,506,614,475,0.8531831961888263,1.0636639237765266,0.7631923244657653,0.3488593155893536,0.12265331664580725,0.052845528455284556,0.36985708098744047,1.0892161108705067,2.1962494548626252,3.2756653992395437,3.933041301627034,4.223577235772358
20240926_130542,LogicalGuesser,2309,1821,488,0.7886530965786055,4.688083470620538,RIPER,ANGAS,WHATA,CHUNK,PEACE,TASTE,AWARD,FILLY,0,26,195,543,614,443,0.823300129926375,1.065396275443915,0.8331143232588699,0.3960727969348659,0.16051779935275082,0.05907626208378088,0.3434387180597661,1.0827197921178,2.138414367060885,3.2586206896551726,3.912621359223301,4.209452201933405
20240926_130704,LogicalGuesser,2309,1775,534,0.7687310524036379,4.72056338028169,BOOZY,PUDUS,CINCT,NUDGE,LECCY,BLUNT,SHUSH,DREAD,0,22,189,496,624,444,0.8319618882633174,1.0697271546123863,0.8006121556624399,0.3708293612964728,0.14481897627965043,0.06441717791411043,0.33997401472498917,1.0346470333477695,2.1171840839527767,3.2368922783603433,3.8907615480649187,4.171779141104294
20240926_131257,LogicalGuesser,2309,1816,493,0.7864876569943698,4.70704845814978,BRAWN,CACHE,UMBRA,REFIT,WINGE,SULLY,RAZOR,BURRY,0,13,197,531,643,432,0.8670420095279342,1.0987440450411434,0.7992160278745645,0.39256788947117677,0.1371173469387755,0.06594594594594595,0.33824166305760067,1.0515374621048073,2.148519163763066,3.2534540257265365,3.944515306122449,4.188108108108108
20240926_132525,LogicalGuesser,23090,17989,5101,0.7790818536162841,4.705041970092834,OUTGO,DAWTS,DAWTS,LATTE,SERRE,FREER,FLUFF,CROCK,3,213,1904,5210,6296,4363,0.8462104807275878,1.083380257287651,0.8074232753344408,0.3804005722460658,0.14733502538071067,0.06889264581572274,0.3466435686444348,1.056785203794343,2.157908542449943,3.2664282308059134,3.922017766497462,4.186918850380389
20240926_133913,LogicalGuesser,23090,18092,4998,0.7835426591598095,4.710756135308424,OTTER,HERNS,GLUEY,CLEAT,PUREE,DEFER,SHUSH,SASSY,1,208,1896,5270,6260,4457,0.8508445214378518,1.0881805188617957,0.8299899479917836,0.39070764832022875,0.15132039452752147,0.061448968799576946,0.3465569510610654,1.052795703581792,2.1428696298238714,3.266714319752204,3.921794463888005,4.20888418826018
20240926_141548,LogicalGuesser,148550,108327,40223,0.729229215752272,4.726365541370111,ARENA,UPDRY,BROWS,ANATA,SALAS,SAAGS,SERES,SERES,8,1220,11309,30894,37334,27562,0.8007001009761023,1.0037026564877274,0.7449328681391781,0.36405343606861107,0.14927843681922393,0.06736003540606329,0.41763715920565464,1.1593488710263764,2.211041120810198,3.2396168013351665,3.844699816398558,4.102544810798849
20240926_151211,LogicalGuesser,2309,1805,504,0.7817236899090515,4.725207756232687,VERVE,BARES,KADAI,AUCHT,SHUCK,TEETH,SLUSH,CLOCK,1,27,186,507,616,468,0.8328280640970117,1.1087521663778164,0.7794826830337571,0.3627684964200477,0.13476070528967254,0.06275720164609054,0.33304460805543523,1.0311958405545927,2.1863217886891713,3.283054892601432,3.9256926952141056,4.2181069958847734
20240926_151732,LogicalGuesser,11545,9078,2467,0.786314421827631,4.69960343688037,SMITH,YEUCH,SPREW,APEAK,LEAVE,SLUSH,STUNS,TATTY,0,96,954,2727,3105,2196,0.8497184928540493,1.0952793417063664,0.808542230762512,0.3855169128156265,0.1560247167868177,0.06626635213381943,0.3443915114768298,1.0466002598527502,2.1580924098174514,3.2773701762744163,3.9127188465499487,4.198584602187433
