timestamp,player_name,total_games,wins,losses,win_ratio,avg_guesses,overall_most_used_word,overall_least_used_word,most_used_word_row1,most_used_word_row2,most_used_word_row3,most_used_word_row4,most_used_word_row5,most_used_word_row6,win_dist_row1,win_dist_row2,win_dist_row3,win_dist_row4,win_dist_row5,win_dist_row6,avg_row1_yellow,avg_row2_yellow,avg_row3_yellow,avg_row4_yellow,avg_row5_yellow,avg_row6_yellow,avg_row1_green,avg_row2_green,avg_row3_green,avg_row4_green,avg_row5_green,avg_row6_green
20240926_130129,LogicalGuesserWithDupes,2309,1808,501,0.7830229536595928,4.724557522123894,FREER,TOSHY,BIOTA,BOOAI,AGAPE,RIMER,FJORD,AREAD,0,12,196,503,664,433,0.8332611520138589,1.0775227371156344,0.760992599042229,0.37410756782484533,0.1357947434292866,0.07494646680942184,0.3373754872239065,1.0385448245993936,2.172834131475838,3.2570204664445503,3.948685857321652,4.170235546038544
20240926_130247,LogicalGuesserWithDupes,2309,1778,531,0.7700303161541793,4.7047244094488185,HAZAN,BASSY,REDDS,PRIAN,CERGE,TERFE,ELATE,BLAME,1,22,203,494,613,445,0.8475530532698138,1.0875216637781628,0.7624671916010499,0.32645223235717713,0.1277533039647577,0.05737704918032787,0.34863577306193155,1.0706239168110918,2.2029746281714786,3.301008161305809,3.9251101321585904,4.198770491803279
20240926_130608,LogicalGuesserWithDupes,2309,1816,493,0.7864876569943698,4.6789647577092515,KNOLL,BITSY,VRAIC,BONNE,GLISK,KITTY,AWAIT,CLOCK,0,24,191,561,608,432,0.822867042009528,1.0558683412732786,0.7654266958424507,0.3271251193887297,0.12133072407045009,0.05837837837837838,0.3391078388912949,1.0714595062797747,2.203063457330416,3.3414517669532,3.9360730593607305,4.188108108108108
20240926_131552,LogicalGuesserWithDupes,23090,18150,4940,0.7860545690775227,4.695096418732782,GUPPY,RUKHS,LEAPT,DELED,ELIDE,DULLY,TRITE,TOOTH,1,213,1908,5406,6291,4331,0.8495019488956258,1.0763567066568496,0.7796817625458996,0.3492464708126669,0.1233131988176327,0.058138280660122964,0.3443915114768298,1.0695136212049028,2.1890190592760974,3.3273082792827164,3.96330805809022,4.210549023837774
20240926_134110,LogicalGuesserWithDupes,23090,18219,4871,0.7890428757037679,4.716669411054394,AMUSE,WAREZ,BARCA,STOWP,TOROT,SLASH,SLUSH,STATE,2,207,1868,5305,6329,4508,0.8360762234733651,1.0673943173943174,0.7635592849962851,0.3378384809403702,0.12433155080213903,0.05490990510715428,0.35283672585534864,1.072288634788635,2.1967571347406145,3.3237995526578783,3.9628214922332567,4.230621601450048
